高級中等學校校別概況,,,,,,,,,,,,,,,,,
105 學年度  SY 2016-2017,,,,,,,,,,,,,,,,,
單位：人；班,,,,,,,,,,,,,,,,,
,,專任教師數,,,兼任教師數,,,職員數,,,班級數,學生數,,,上學年畢業生數,,
,,總計,男,女,總計,男,女,總計,男,女,,總計,男,女,總計,男,女
400144,國立臺灣戲曲學院附設高職,76,31,45,222,126,96, -, -, -,21,444,144,300,132,40,92
140222,國立臺東專科學校附設高職,82,44,38,27,19,8, -, -, -,36,971,698,273,210,132,78
010301,國立華僑高級中等學校,138,52,86,9,3,6,30,8,22,48,"1,596",714,882,530,251,279
011301,私立淡江高中,113,43,70, -, -, -,23,9,14,39,"1,517",718,799,570,267,303
011302,私立康橋高中,51,26,25, -, -, -,8,1,7,18,791,395,396,221,115,106
011306,私立金陵女中,111,29,82,4,1,3,23,3,20,24,"1,092", -,"1,092",298, -,298
011307,新北市私立裕德實驗高級中學,34,9,25,10,7,3,13,4,9,3,53,28,25, -, -, -
011309,財團法人南山高中,221,104,117,13,5,8,37,11,26,42,"1,909","1,176",733,692,430,262
011310,財團法人恆毅高中,110,47,63,16,6,10,29,10,19,24,"1,075",715,360,300,202,98
011311,私立聖心女中,54,11,43,9, -,9,16,3,13,9,390, -,390,129, -,129
011312,私立崇義高中,8,5,3,12,6,6,5,1,4,13,248,207,41,41,32,9
011314,財團法人中華高中,48,26,22,19,11,8,10,4,6,28,"1,012",797,215,456,371,85
011315,私立東海高中,79,39,40,25,14,11,20,6,14,56,"2,052","1,641",411,614,494,120
011316,私立格致高中,123,73,50, -, -, -,20,7,13,46,"1,885","1,275",610,592,386,206
011317,私立醒吾高中,90,32,58,25,4,21,37,11,26,53,"1,867",871,996,665,289,376
011318,私立徐匯高中,62,28,34,8,6,2,14,6,8,15,604,604, -,147,147, -
011322,財團法人崇光女中,100,18,82,1, -,1,16,2,14,18,800, -,800,242, -,242
011323,私立光仁高中,98,36,62,16,8,8,20,6,14,18,783,353,430,239,124,115
011324,私立竹林高中,154,73,81,7,1,6,24,8,16,36,"1,521",746,775,452,217,235
011325,私立及人高中,69,35,34, -, -, -,19,5,14,16,607,361,246,223,132,91
011329,財團法人辭修高中,98,39,59,4,1,3,26,11,15,19,790,483,307,160,102,58
011399,私立時雨高中,82,48,34,1, -,1,28,11,17,15,695,439,256,219,152,67
013303,市立泰山高中,156,83,73,41,33,8,33,13,20,70,"2,476","1,802",674,687,481,206
013304,市立板橋高中,145,60,85,18,8,10,20,3,17,60,"2,337","1,175","1,162",773,441,332
013335,市立新店高中,118,34,84,94,39,55,19,1,18,51,"1,936",967,969,646,335,311
013336,市立中和高中,126,42,84,14,4,10,18,3,15,54,"2,030","1,137",893,683,336,347
013337,市立新莊高中,135,54,81,16,5,11,18,2,16,57,"2,106","1,072","1,034",754,380,374
013338,市立新北高中,119,48,71, -, -, -,18,5,13,51,"1,823",908,915,645,338,307
013339,市立林口高中,107,46,61, -, -, -,19,2,17,45,"1,736",816,920,567,266,301
014302,市立海山高中,265,77,188,31,20,11,24,4,20,35,"1,247",671,576,417,215,202
014311,市立三重高中,179,53,126,13,10,3,16,6,10,40,"1,426",632,794,380,160,220
014315,市立永平高中,169,47,122,21,11,10,19,7,12,36,"1,255",593,662,386,148,238
014322,市立樹林高中,221,67,154,30,17,13,20,4,16,47,"1,671",748,923,511,217,294
014326,市立明德高中,147,58,89,20,6,14,22,8,14,34,"1,218",579,639,352,169,183
014332,市立秀峰高中,170,53,117,28,12,16,22,5,17,31,"1,043",480,563,258,131,127
014338,市立金山高中,101,35,66, -, -, -,14,3,11,20,530,280,250,155,82,73
014343,市立安康高中,133,43,90, -, -, -,19,4,15,33,"1,139",555,584,298,153,145
014347,市立雙溪高中,65,29,36, -, -, -,13,5,8,15,457,227,230,130,66,64
014348,市立石碇高中,73,22,51, -, -, -,12,4,8,18,579,252,327,165,59,106
014353,市立丹鳳高中,226,77,149,36,16,20,19,5,14,30,"1,099",528,571,319,146,173
014356,市立清水高中,235,77,158,52,21,31,19,2,17,41,"1,468",712,756,368,176,192
014357,市立三民高中,216,65,151,94,43,51,19,2,17,43,"1,562",750,812,385,181,204
014362,市立錦和高中,193,54,139,18,9,9,15,2,13,32,"1,131",570,561,320,153,167
