02-01 人口年齡分配按單齡組 Population by Single Year of Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華民國六十三年底至一○五年底 End of 1974-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人  Unit : Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"年底別
End of Year",性別,,總計,0 歲,1 歲,2 歲,3 歲,4 歲,5 歲,6 歲,7 歲,8 歲,9 歲,10 歲,11 歲,12 歲,13 歲,14 歲,15 歲,16 歲,17 歲,18 歲,19 歲,20 歲,21 歲,22 歲,23 歲,24 歲,25 歲,26 歲,27 歲,28 歲,29 歲,30 歲,31 歲,32 歲,33 歲,34 歲,35 歲,36 歲,37 歲,38 歲,39 歲,40 歲,41 歲,42 歲,43 歲,44 歲,45 歲,46 歲,47 歲,48 歲,49 歲,50 歲,51 歲,52 歲,53 歲,54 歲,55 歲,56 歲,57 歲,58 歲,59 歲,60 歲,61 歲,62 歲,63 歲,64 歲,65 歲,66 歲,67 歲,68 歲,69 歲,70 歲,71 歲,72 歲,73 歲,74 歲,75 歲,76 歲,77 歲,78 歲,79 歲,80 歲,81 歲,82 歲,83 歲,84 歲,85 歲,86 歲,87 歲,88 歲,89 歲,90 歲,91 歲,92 歲,93 歲,94 歲,95 歲,96 歲,97 歲,98 歲,99 歲,100 歲以上,,,,,,,,,,,,,,,,,,,
,Sex,,Grand Total,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years & Over,,,,,,,,,,,,,,,,,,,
六十三年 1974,計,T.,"15,927,167","328,461","357,403","359,674","372,532","384,269","387,447","387,354","371,223","399,826","395,966","404,183","410,366","406,339","403,095","399,252","397,066","385,987","367,641","381,284","374,289","356,463","344,755","339,912","345,083","291,931","273,483","240,690","213,213","175,348","158,729","185,787","190,931","188,802","192,255","193,339","185,581","176,402","175,871","168,510","168,718","165,941","162,943","165,293","171,833","175,457","171,125","168,748","162,243","159,967","152,383","139,909","131,260","132,457","129,779","113,870","102,948","97,184","94,514","85,904","83,997","84,571","80,918","84,474","68,670","63,988","59,741","52,372","50,366","45,505","43,441","36,737","32,227","31,037","27,244","24,974","20,744","20,218","15,616","13,043","11,868","9,586","8,171","7,219","5,593","4,511","17,118",(85歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,M.,"8,354,012","169,774","184,404","184,774","191,539","197,962","199,285","199,386","191,252","205,404","203,007","207,839","210,346","209,120","207,241","205,410","203,351","197,534","187,994","195,211","191,678","182,267","176,355","173,964","176,050","149,707","140,523","123,674","109,394","89,991","81,495","95,373","98,187","96,786","98,689","98,662","94,335","89,989","89,684","86,467","86,621","86,816","87,443","91,200","97,547","103,310","101,711","101,279","98,340","96,683","93,272","84,368","78,569","79,003","77,165","67,178","60,337","56,375","54,086","49,248","47,360","47,816","45,379","49,398","35,522","33,169","31,193","26,655","25,689","22,647","21,160","17,862","15,641","14,566","12,272","11,233","9,066","8,465","6,349","5,457","4,691","3,666","3,020","2,608","1,954","1,561","4,959",(85歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,女,F.,"7,573,155","158,687","172,999","174,900","180,993","186,307","188,162","187,968","179,971","194,422","192,959","196,344","200,020","197,219","195,854","193,842","193,715","188,453","179,647","186,073","182,611","174,196","168,400","165,948","169,033","142,224","132,960","117,016","103,819","85,357","77,234","90,414","92,744","92,016","93,566","94,677","91,246","86,413","86,187","82,043","82,097","79,125","75,500","74,093","74,286","72,147","69,414","67,469","63,903","63,284","59,111","55,541","52,691","53,454","52,614","46,692","42,611","40,809","40,428","36,656","36,637","36,755","35,539","35,076","33,148","30,819","28,548","25,717","24,677","22,858","22,281","18,875","16,586","16,471","14,972","13,741","11,678","11,753","9,267","7,586","7,177","5,920","5,151","4,611","3,639","2,950","12,159",(85歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六十四年 1975,計,T.,"16,223,089","338,281","356,170","361,478","363,206","373,316","383,972","386,586","386,556","371,539","399,274","395,069","403,798","409,914","406,013","402,449","399,523","395,810","384,827","366,739","380,088","374,751","355,476","344,272","338,676","343,648","290,657","272,030","239,818","212,093","176,575","160,502","185,681","190,416","188,246","191,702","192,571","184,670","175,926","174,911","168,740","168,630","165,651","162,812","165,431","171,697","174,882","170,444","168,383","161,895","159,432","151,956","138,608","129,492","130,401","127,732","111,963","101,218","96,058","93,279","84,560","82,559","82,938","79,531","82,361","67,139","62,267","57,965","50,802","48,751","43,923","41,522","35,302","30,581","29,357","25,552","23,216","19,080","18,674","14,347","11,782","10,736","8,534","7,111","6,258","4,757","3,783","3,240","2,600","2,221","1,536","4,171",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,M.,"8,501,391","174,666","183,721","186,206","186,603","192,020","197,714","198,687","199,208","191,485","205,054","202,554","207,631","209,995","208,781","206,938","205,516","202,582","196,963","187,379","194,298","191,912","181,732","175,997","173,348","175,263","148,857","139,911","123,066","108,673","90,821","82,442","95,313","97,903","96,574","98,386","98,410","93,634","89,913","89,174","86,853","86,575","86,722","87,301","91,198","97,637","102,917","101,358","101,198","98,132","96,459","93,119","83,169","77,117","77,336","75,511","65,779","59,052","55,601","53,175","48,206","46,398","46,724","44,464","47,757","34,723","32,234","30,062","25,709","24,673","21,786","20,186","17,142","14,754","13,667","11,509","10,280","8,246","7,694","5,735","4,838","4,207","3,225","2,608","2,199","1,619","1,274","1,008",810,685,396,"1,034",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,女,F.,"7,721,698","163,615","172,449","175,272","176,603","181,296","186,258","187,899","187,348","180,054","194,220","192,515","196,167","199,919","197,232","195,511","194,007","193,228","187,864","179,360","185,790","182,839","173,744","168,275","165,328","168,385","141,800","132,119","116,752","103,420","85,754","78,060","90,368","92,513","91,672","93,316","94,161","91,036","86,013","85,737","81,887","82,055","78,929","75,511","74,233","74,060","71,965","69,086","67,185","63,763","62,973","58,837","55,439","52,375","53,065","52,221","46,184","42,166","40,457","40,104","36,354","36,161","36,214","35,067","34,604","32,416","30,033","27,903","25,093","24,078","22,137","21,336","18,160","15,827","15,690","14,043","12,936","10,834","10,980","8,612","6,944","6,529","5,309","4,503","4,059","3,138","2,509","2,232","1,790","1,536","1,140","3,137",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
六十五年 1976,計,T.,"16,579,737","384,159","363,303","360,130","361,332","362,302","374,260","385,147","387,182","387,629","371,304","400,469","396,288","403,917","410,611","406,453","402,003","398,189","396,023","385,068","366,517","381,719","374,762","356,014","344,445","337,819","342,906","290,526","271,956","240,179","212,821","174,522","158,872","184,951","189,789","188,512","191,483","192,017","184,623","175,797","175,879","167,412","167,950","165,460","162,309","163,837","171,164","174,477","169,953","167,320","160,386","158,482","150,601","137,302","128,612","129,255","126,482","110,731","100,459","94,800","91,970","83,259","81,247","81,990","78,048","80,828","65,407","60,569","56,243","49,175","47,247","42,673","40,192","33,360","29,046","27,629","23,940","21,758","17,669","17,405","13,280","10,657","9,640","7,566","6,309","5,485","4,110","3,289","2,682","2,148","1,753","4,293",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,M.,"8,678,165","199,009","186,722","185,413","186,205","186,037","192,441","198,164","199,062","199,537","191,160","205,463","203,067","207,589","210,330","209,307","206,394","204,581","202,873","196,806","187,352","195,081","191,918","182,053","176,140","172,971","175,140","148,966","139,549","123,471","109,100","89,858","81,509","95,049","97,683","96,448","98,404","97,984","93,856","89,665","89,708","85,904","86,251","86,349","86,979","90,182","97,325","102,657","100,895","100,330","96,980","95,820","92,042","82,243","76,414","76,392","74,424","65,038","58,543","54,714","52,270","47,367","45,593","46,075","43,389","46,718","33,472","31,146","28,923","24,691","23,769","20,939","19,297","15,982","13,871","12,593","10,578","9,570","7,544","7,119","5,233","4,321","3,715","2,769","2,259","1,919","1,387","1,086",799,662,535,"1,027",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,女,F.,"7,901,572","185,150","176,581","174,717","175,127","176,265","181,819","186,983","188,120","188,092","180,144","195,006","193,221","196,328","200,281","197,146","195,609","193,608","193,150","188,262","179,165","186,638","182,844","173,961","168,305","164,848","167,766","141,560","132,407","116,708","103,721","84,664","77,363","89,902","92,106","92,064","93,079","94,033","90,767","86,132","86,171","81,508","81,699","79,111","75,330","73,655","73,839","71,820","69,058","66,990","63,406","62,662","58,559","55,059","52,198","52,863","52,058","45,693","41,916","40,086","39,700","35,892","35,654","35,915","34,659","34,110","31,935","29,423","27,320","24,484","23,478","21,734","20,895","17,378","15,175","15,036","13,362","12,188","10,125","10,286","8,047","6,336","5,925","4,797","4,050","3,566","2,723","2,203","1,883","1,486","1,218","3,266",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
