縣市代碼,縣市名稱,學校代碼,學校名稱,1年級班級數,2年級班級數,3年級班級數,4年級班級數,5年級班級數,6年級班級數,1年級男學生數,1年級女學生數,2年級男學生數,2年級女學生數,3年級男學生數,3年級女學生數,4年級男學生數,4年級女學生數,5年級男學生數,5年級女學生數,6年級男學生數,6年級女學生數,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員
30,台北市,313601,市立松山國小,5,4,5,4,5,4,47,64,55,51,44,61,50,52,45,52,55,42,41,40,14,42,4,4
30,台北市,313602,市立西松國小,7,7,7,7,6,7,83,101,99,106,94,93,89,97,83,81,88,77,110,89,27,64,3,8
30,台北市,313604,市立敦化國小,14,15,17,17,17,17,216,206,244,207,269,231,232,249,240,235,281,217,256,248,43,140,2,11
30,台北市,313605,市立民生國小,9,10,10,10,10,10,126,112,130,120,155,146,157,115,136,126,142,136,154,126,14,101,2,8
30,台北市,313606,市立民權國小,8,8,8,8,9,8,118,96,124,95,121,83,129,78,115,102,116,92,127,95,23,78,1,9
30,台北市,313607,市立民族國小,4,4,5,5,5,5,50,57,42,43,57,58,57,47,52,56,62,42,50,43,17,41,1,6
30,台北市,313608,市立三民國小,3,4,3,3,4,4,37,37,45,31,30,34,32,21,33,29,34,26,35,30,14,30,0,4
30,台北市,313609,市立健康國小,6,6,6,6,6,6,98,79,95,99,95,84,83,90,100,80,71,86,81,75,11,63,0,9
30,台北市,323601,市立興雅國小,7,7,7,7,7,8,96,77,82,71,89,81,92,83,82,93,80,102,93,101,20,70,5,5
30,台北市,323602,市立永春國小,3,3,4,3,3,5,51,37,39,38,39,50,35,39,38,40,55,34,47,47,17,34,1,5
30,台北市,323603,市立光復國小,11,12,12,12,12,13,151,124,168,154,154,161,168,143,167,137,194,145,194,156,31,121,3,9
30,台北市,323604,市立三興國小,4,4,4,4,5,6,38,53,54,42,57,61,56,49,47,58,71,53,59,64,17,47,2,7
30,台北市,323605,市立信義國小,5,6,6,5,5,5,66,62,72,69,84,76,75,61,80,53,80,51,60,65,14,54,2,7
