statistic_yyy,site_id,village,edu_age_15up_total,edu_senior_ungraduated_m,edu_senior_ungraduated_f,sum_highschool
統計年,區域別,村里名稱,總計,高肄_男,高肄_女,sum_highschool
105,松山區,莊敬里,4917,285,351,636
105,松山區,東榮里,6994,203,340,543
105,松山區,三民里,6202,206,343,549
105,松山區,新益里,4264,213,286,499
105,松山區,富錦里,4697,161,279,440
105,松山區,新東里,4447,216,317,533
105,松山區,富泰里,4132,147,267,414
105,松山區,介壽里,3926,140,207,347
105,松山區,精忠里,3826,98,220,318
105,松山區,東光里,6641,264,376,640
105,松山區,龍田里,8909,203,448,651
105,松山區,東昌里,2380,78,139,217
105,松山區,東勢里,3897,141,254,395
105,松山區,中華里,5526,127,254,381
105,松山區,民有里,7991,263,469,732
105,松山區,民福里,5943,283,418,701
105,松山區,慈祐里,7322,508,542,1050
105,松山區,安平里,7611,419,508,927
105,松山區,鵬程里,5144,244,364,608
105,松山區,自強里,8740,262,449,711
105,松山區,吉祥里,7674,329,506,835
105,松山區,新聚里,7317,330,539,869
105,松山區,復盛里,5882,289,422,711
105,松山區,中正里,8330,254,464,718
105,松山區,中崙里,3623,164,232,396
105,松山區,美仁里,3032,123,174,297
105,松山區,吉仁里,3504,144,219,363
105,松山區,敦化里,6142,214,391,605
105,松山區,復源里,2791,125,185,310
105,松山區,復建里,3982,156,250,406
105,松山區,復勢里,5565,210,383,593
105,松山區,福成里,2359,74,115,189
105,松山區,松基里,3283,112,182,294
105,信義區,西村里,5403,241,289,530
105,信義區,正和里,4156,126,241,367
105,信義區,興隆里,2605,75,136,211
105,信義區,中興里,3174,116,181,297
105,信義區,新仁里,3104,80,155,235
105,信義區,興雅里,5317,224,347,571
105,信義區,敦厚里,4801,190,299,489
105,信義區,廣居里,7020,278,417,695
105,信義區,安康里,9073,303,496,799
105,信義區,六藝里,3383,193,221,414
105,信義區,雅祥里,4546,277,306,583
105,信義區,五常里,3443,174,268,442
105,信義區,五全里,4685,275,317,592
105,信義區,永吉里,3728,284,237,521
105,信義區,長春里,3910,241,262,503
105,信義區,四育里,5211,327,390,717
105,信義區,四維里,5007,292,355,647
105,信義區,永春里,4556,279,322,601
105,信義區,富台里,3920,152,241,393
105,信義區,國業里,6736,248,386,634
105,信義區,松隆里,2125,146,140,286
105,信義區,松友里,6033,292,419,711
105,信義區,松光里,4590,244,330,574
105,信義區,中坡里,4183,240,296,536
105,信義區,中行里,7453,469,524,993
105,信義區,大道里,5644,317,400,717
105,信義區,大仁里,3783,217,251,468
105,信義區,景新里,4603,155,287,442
105,信義區,惠安里,6103,314,427,741
105,信義區,三張里,8184,367,503,870
105,信義區,三犁里,4813,183,275,458
105,信義區,六合里,6323,254,399,653
105,信義區,泰和里,7230,434,506,940
105,信義區,景聯里,4293,172,285,457
105,信義區,景勤里,3754,222,259,481
105,信義區,雙和里,6506,308,409,717
105,信義區,嘉興里,2960,154,199,353
105,信義區,黎順里,3866,197,228,425
105,信義區,黎平里,6517,311,411,722
105,信義區,黎忠里,4451,229,290,519
105,信義區,黎安里,1973,119,86,205
105,大安區,德安里,5058,137,247,384
105,大安區,仁慈里,4621,98,182,280
105,大安區,和安里,5999,157,273,430
105,大安區,民炤里,7155,192,338,530
105,大安區,仁愛里,4754,106,223,329
105,大安區,義村里,5440,180,313,493
105,大安區,民輝里,6253,198,318,516
105,大安區,昌隆里,2899,76,130,206
105,大安區,誠安里,3839,145,229,374
105,大安區,光武里,6764,196,385,581
105,大安區,龍坡里,5045,108,188,296
105,大安區,龍泉里,4164,116,186,302
105,大安區,古風里,3766,99,192,291
105,大安區,古莊里,6301,188,301,489
105,大安區,龍安里,7000,254,295,549
105,大安區,錦安里,5152,105,218,323
105,大安區,福住里,5415,124,227,351
105,大安區,永康里,3241,100,149,249
105,大安區,光明里,2999,109,127,236
105,大安區,錦泰里,3096,86,120,206
105,大安區,錦華里,4818,119,217,336
105,大安區,龍圖里,6165,197,319,516
105,大安區,新龍里,6019,128,284,412
