site_id,village,people_total,people_total_m,people_total_f,,ratio
區域別,村里,人口數,人口數-男,人口數-女,,ratio
板橋區,留侯里,"1,662.00",783,879,457.00,1.71334792122538
板橋區,流芳里,"1,577.00",737,840,255.00,2.89019607843137
板橋區,赤松里,833.00,405,428,255.00,1.58823529411765
板橋區,黃石里,"1,189.00",582,607,159.00,3.66037735849057
板橋區,挹秀里,"1,796.00",877,919,167.00,5.25149700598802
板橋區,湳興里,"5,690.00",2739,2951,363.00,7.54545454545455
板橋區,新興里,"3,276.00",1567,1709,807.00,1.94175960346964
板橋區,社後里,"9,224.00",5133,4091,460.00,11.1586956521739
板橋區,香社里,"4,517.00",2247,2270,"1,091.00",2.05957836846929
板橋區,中正里,"4,531.00",2217,2314,601.00,3.68885191347754
板橋區,自強里,"5,399.00",2637,2762,598.00,4.40969899665552
板橋區,自立里,"2,930.00",1420,1510,"1,183.00",1.20033812341505
板橋區,光華里,"2,794.00",1376,1418,406.00,3.38916256157635
板橋區,國光里,"3,859.00",1884,1975,518.00,3.63706563706564
板橋區,港尾里,"3,059.00",1444,1615,889.00,1.62429696287964
板橋區,金華里,"4,151.00",2031,2120,512.00,3.966796875
板橋區,港德里,"5,125.00",2539,2586,508.00,4.99803149606299
板橋區,民權里,"2,768.00",1366,1402,681.00,2.00587371512482
板橋區,建國里,"3,713.00",1814,1899,472.00,3.84322033898305
板橋區,漢生里,"4,463.00",2164,2299,513.00,4.21832358674464
板橋區,公舘里,"4,107.00",2007,2100,809.00,2.48084054388134
板橋區,新民里,"4,679.00",2273,2406,560.00,4.05892857142857
板橋區,幸福里,"4,157.00",2074,2083,761.00,2.72536136662286
板橋區,忠誠里,"4,252.00",2064,2188,536.00,3.85074626865672
板橋區,百壽里,"2,493.00",1199,1294,861.00,1.39256678281069
板橋區,介壽里,"3,200.00",1532,1668,318.00,4.81761006289308
板橋區,新埔里,"2,202.00",1072,1130,414.00,2.58937198067633
板橋區,華江里,"7,741.00",3582,4159,360.00,9.95
板橋區,江翠里,"4,912.00",2415,2497,"1,415.00",1.70671378091873
板橋區,純翠里,"5,647.00",2772,2875,675.00,4.10666666666667
板橋區,溪頭里,"6,308.00",3099,3209,818.00,3.78850855745721
板橋區,聯翠里,"3,794.00",1782,2012,935.00,1.90588235294118
板橋區,宏翠里,"4,990.00",2385,2605,696.00,3.42672413793103
板橋區,仁翠里,"3,035.00",1478,1557,738.00,2.00271002710027
板橋區,新翠里,"8,173.00",3930,4243,335.00,11.7313432835821
板橋區,吉翠里,"3,949.00",1928,2021,"1,373.00",1.40422432629279
板橋區,德翠里,"7,626.00",3729,3897,470.00,7.93404255319149
板橋區,滿翠里,"3,122.00",1508,1614,"1,170.00",1.28888888888889
板橋區,明翠里,"5,061.00",2450,2611,343.00,7.14285714285714
板橋區,松翠里,"3,532.00",1710,1822,714.00,2.39495798319328
板橋區,柏翠里,"4,225.00",2011,2214,512.00,3.927734375
板橋區,龍翠里,"5,268.00",2545,2723,650.00,3.91538461538462
板橋區,華翠里,"3,844.00",1848,1996,856.00,2.1588785046729
板橋區,忠翠里,"11,002.00",5194,5808,619.00,8.39095315024233
板橋區,嵐翠里,"2,659.00",1337,1322,"2,116.00",0.631852551984877
板橋區,文翠里,"4,201.00",2074,2127,307.00,6.7557003257329
板橋區,青翠里,"3,126.00",1612,1514,638.00,2.52664576802508
板橋區,懷翠里,"6,248.00",3082,3166,393.00,7.84223918575064
板橋區,福翠里,"1,401.00",705,696,819.00,0.860805860805861
板橋區,港嘴里,"6,417.00",3191,3226,167.00,19.1077844311377
板橋區,振興里,"4,615.00",2272,2343,990.00,2.2949494949495
板橋區,振義里,"4,400.00",2152,2248,606.00,3.55115511551155
板橋區,光復里,"3,462.00",1756,1706,535.00,3.28224299065421
板橋區,埔墘里,"6,554.00",3137,3417,474.00,6.61814345991561
板橋區,長壽里,"2,969.00",1457,1512,983.00,1.48219735503561
板橋區,福壽里,"3,485.00",1708,1777,607.00,2.81383855024712
板橋區,海山里,"8,510.00",4055,4455,"1,305.00",3.10727969348659
板橋區,九如里,"3,005.00",1443,1562,374.00,3.85828877005348
板橋區,玉光里,"5,665.00",2670,2995,762.00,3.50393700787402
板橋區,光仁里,"3,115.00",1533,1582,427.00,3.59016393442623
板橋區,埤墘里,"4,572.00",2193,2379,596.00,3.67953020134228
板橋區,永安里,"3,685.00",1807,1878,530.00,3.40943396226415
板橋區,雙玉里,"4,333.00",2098,2235,503.00,4.17097415506958
板橋區,廣新里,"3,835.00",1900,1935,427.00,4.44964871194379
板橋區,深丘里,"9,345.00",4476,4869,"1,738.00",2.57537399309551
板橋區,香丘里,"4,064.00",1982,2082,565.00,3.50796460176991
板橋區,西安里,"2,859.00",1412,1447,431.00,3.27610208816705
板橋區,東丘里,"4,989.00",2448,2541,698.00,3.50716332378224
板橋區,長安里,"4,975.00",2414,2561,739.00,3.26657645466847
板橋區,福丘里,"5,027.00",2325,2702,"1,070.00",2.17289719626168
板橋區,福祿里,"4,146.00",1952,2194,637.00,3.06436420722135
板橋區,民族里,"5,174.00",2504,2670,874.00,2.8649885583524
板橋區,國泰里,"3,843.00",1826,2017,548.00,3.33211678832117
