site_id,village,0-6,6-12,all
區域別,村里,0-6,6-12,all
松山區,莊敬里,362,209,571
松山區,東榮里,546,577,1123
松山區,三民里,491,313,804
松山區,新益里,292,195,487
松山區,富錦里,409,230,639
松山區,新東里,377,247,624
松山區,富泰里,372,213,585
松山區,介壽里,359,409,768
松山區,精忠里,358,336,694
松山區,東光里,401,275,676
松山區,龍田里,873,1024,1897
松山區,東昌里,238,248,486
松山區,東勢里,338,302,640
松山區,中華里,497,545,1042
松山區,民有里,549,376,925
松山區,民福里,404,181,585
松山區,慈祐里,528,195,723
松山區,安平里,592,283,875
松山區,鵬程里,362,176,538
松山區,自強里,798,473,1271
松山區,吉祥里,559,351,910
松山區,新聚里,556,363,919
松山區,復盛里,457,315,772
松山區,中正里,1005,1144,2149
松山區,中崙里,384,436,820
松山區,美仁里,296,360,656
松山區,吉仁里,354,329,683
松山區,敦化里,572,612,1184
松山區,復源里,251,311,562
松山區,復建里,398,383,781
松山區,復勢里,513,436,949
松山區,福成里,183,192,375
松山區,松基里,236,124,360
信義區,西村里,315,258,573
信義區,正和里,346,269,615
信義區,興隆里,200,165,365
信義區,中興里,349,144,493
信義區,新仁里,254,191,445
信義區,興雅里,380,260,640
信義區,敦厚里,370,224,594
信義區,廣居里,722,519,1241
信義區,安康里,1090,795,1885
信義區,六藝里,288,239,527
信義區,雅祥里,387,191,578
信義區,五常里,295,128,423
信義區,五全里,343,151,494
信義區,永吉里,306,149,455
信義區,長春里,262,109,371
信義區,四育里,376,145,521
信義區,四維里,330,139,469
信義區,永春里,334,191,525
信義區,富台里,314,218,532
信義區,國業里,712,561,1273
信義區,松隆里,136,72,208
信義區,松友里,595,461,1056
信義區,松光里,310,120,430
信義區,中坡里,308,160,468
信義區,中行里,625,290,915
信義區,大道里,432,176,608
信義區,大仁里,253,100,353
信義區,景新里,416,240,656
信義區,惠安里,432,221,653
信義區,三張里,585,341,926
信義區,三犁里,332,220,552
信義區,六合里,445,197,642
信義區,泰和里,589,302,891
信義區,景聯里,292,127,419
信義區,景勤里,287,151,438
信義區,雙和里,520,308,828
信義區,嘉興里,216,97,313
信義區,黎順里,306,106,412
信義區,黎平里,477,277,754
信義區,黎忠里,338,150,488
信義區,黎安里,106,60,166
大安區,德安里,417,379,796
大安區,仁慈里,516,521,1037
大安區,和安里,561,644,1205
大安區,民炤里,578,531,1109
大安區,仁愛里,389,305,694
大安區,義村里,296,165,461
大安區,民輝里,474,242,716
大安區,昌隆里,154,77,231
大安區,誠安里,237,111,348
大安區,光武里,604,369,973
大安區,龍坡里,394,477,871
大安區,龍泉里,369,409,778
大安區,古風里,250,252,502
大安區,古莊里,508,420,928
