site_id,village,0-6,6-12
區域別,村里,0-6,6-12
松山區,莊敬里,362,209
松山區,東榮里,546,577
松山區,三民里,491,313
松山區,新益里,292,195
松山區,富錦里,409,230
松山區,新東里,377,247
松山區,富泰里,372,213
松山區,介壽里,359,409
松山區,精忠里,358,336
松山區,東光里,401,275
松山區,龍田里,873,1024
松山區,東昌里,238,248
松山區,東勢里,338,302
松山區,中華里,497,545
松山區,民有里,549,376
松山區,民福里,404,181
松山區,慈祐里,528,195
松山區,安平里,592,283
松山區,鵬程里,362,176
松山區,自強里,798,473
松山區,吉祥里,559,351
松山區,新聚里,556,363
松山區,復盛里,457,315
松山區,中正里,1005,1144
松山區,中崙里,384,436
松山區,美仁里,296,360
松山區,吉仁里,354,329
松山區,敦化里,572,612
松山區,復源里,251,311
松山區,復建里,398,383
松山區,復勢里,513,436
松山區,福成里,183,192
松山區,松基里,236,124
信義區,西村里,315,258
信義區,正和里,346,269
信義區,興隆里,200,165
信義區,中興里,349,144
信義區,新仁里,254,191
信義區,興雅里,380,260
信義區,敦厚里,370,224
信義區,廣居里,722,519
信義區,安康里,1090,795
信義區,六藝里,288,239
信義區,雅祥里,387,191
信義區,五常里,295,128
信義區,五全里,343,151
信義區,永吉里,306,149
信義區,長春里,262,109
信義區,四育里,376,145
信義區,四維里,330,139
信義區,永春里,334,191
信義區,富台里,314,218
信義區,國業里,712,561
信義區,松隆里,136,72
信義區,松友里,595,461
信義區,松光里,310,120
信義區,中坡里,308,160
信義區,中行里,625,290
信義區,大道里,432,176
信義區,大仁里,253,100
信義區,景新里,416,240
信義區,惠安里,432,221
信義區,三張里,585,341
信義區,三犁里,332,220
信義區,六合里,445,197
信義區,泰和里,589,302
信義區,景聯里,292,127
信義區,景勤里,287,151
信義區,雙和里,520,308
信義區,嘉興里,216,97
信義區,黎順里,306,106
信義區,黎平里,477,277
信義區,黎忠里,338,150
信義區,黎安里,106,60
大安區,德安里,417,379
大安區,仁慈里,516,521
大安區,和安里,561,644
大安區,民炤里,578,531
大安區,仁愛里,389,305
大安區,義村里,296,165
大安區,民輝里,474,242
大安區,昌隆里,154,77
大安區,誠安里,237,111
大安區,光武里,604,369
大安區,龍坡里,394,477
大安區,龍泉里,369,409
大安區,古風里,250,252
大安區,古莊里,508,420
大安區,龍安里,668,604
大安區,錦安里,646,569
大安區,福住里,731,607
大安區,永康里,341,316
大安區,光明里,339,388
大安區,錦泰里,304,348
大安區,錦華里,530,606
大安區,龍圖里,528,319
大安區,新龍里,511,531
大安區,龍陣里,219,142
大安區,龍雲里,318,244
大安區,龍生里,563,629
大安區,住安里,372,230
大安區,義安里,339,215
大安區,通化里,431,230
大安區,通安里,420,232
大安區,臨江里,249,186
大安區,法治里,283,159
大安區,全安里,293,184
大安區,群賢里,408,250
大安區,群英里,408,274
大安區,虎嘯里,239,141
大安區,臥龍里,196,120
大安區,龍淵里,1080,948
大安區,龍門里,372,410
大安區,大學里,562,547
大安區,芳和里,359,214
大安區,黎元里,397,209
大安區,黎孝里,484,212
大安區,黎和里,323,115
大安區,建安里,364,239
大安區,建倫里,458,386
大安區,敦安里,562,450
大安區,正聲里,393,302
大安區,敦煌里,622,456
大安區,華聲里,337,249
大安區,車層里,443,361
大安區,光信里,635,501
大安區,學府里,194,120
中山區,正守里,198,106
中山區,正義里,329,154
中山區,正得里,264,83
中山區,民安里,282,158
中山區,康樂里,174,46
中山區,中山里,452,141
中山區,聚盛里,284,88
中山區,集英里,527,422
中山區,聚葉里,267,116
中山區,恆安里,424,156
中山區,晴光里,392,146
中山區,圓山里,333,157
中山區,劍潭里,279,202
中山區,大直里,658,731
中山區,成功里,657,602
中山區,永安里,903,578
中山區,大佳里,68,51
中山區,新喜里,410,190
中山區,新庄里,418,166
中山區,新福里,403,178
中山區,松江里,459,364
中山區,新生里,361,151
中山區,中庄里,337,155
中山區,行政里,400,157
中山區,行仁里,689,264
中山區,行孝里,297,156
中山區,下埤里,526,231
中山區,江寧里,523,278
中山區,江山里,503,299
中山區,中吉里,421,323
中山區,中原里,408,165
中山區,興亞里,307,177
中山區,中央里,252,267
中山區,朱馥里,450,323
中山區,龍洲里,265,155
中山區,朱園里,307,154
中山區,埤頭里,226,96
中山區,朱崙里,209,110
中山區,力行里,403,191
中山區,復華里,307,197
中山區,金泰里,789,545
中山區,北安里,186,154
中正區,水源里,221,88
中正區,富水里,239,109
中正區,文盛里,130,99
中正區,林興里,361,215
中正區,河堤里,300,115
中正區,頂東里,419,187
中正區,網溪里,422,179
中正區,板溪里,272,86
中正區,螢圃里,361,150
中正區,螢雪里,283,130
中正區,永功里,521,351
中正區,永昌里,331,129
中正區,龍興里,638,391
中正區,忠勤里,361,176
中正區,廈安里,552,504
中正區,愛國里,247,320
中正區,南門里,212,226
中正區,龍光里,470,338
中正區,南福里,676,1203
中正區,龍福里,792,584
中正區,新營里,880,1226
中正區,建國里,225,198
中正區,光復里,289,297
中正區,黎明里,286,249
中正區,梅花里,205,116
中正區,幸福里,343,305
中正區,幸市里,334,169
中正區,東門里,379,271
中正區,文北里,421,337
中正區,文祥里,646,833
中正區,三愛里,612,596
大同區,玉泉里,225,146
大同區,建明里,215,125
大同區,建功里,364,193
大同區,建泰里,399,170
大同區,永樂里,411,258
大同區,朝陽里,289,157
大同區,星明里,666,375
大同區,光能里,406,398
大同區,大有里,392,226
大同區,延平里,312,142
大同區,雙連里,747,750
大同區,南芳里,371,220
大同區,民權里,558,498
大同區,景星里,202,102
大同區,隆和里,226,184
大同區,蓬萊里,336,189
大同區,國順里,207,88
大同區,國慶里,376,150
大同區,揚雅里,233,86
大同區,斯文里,389,161
大同區,鄰江里,431,184
大同區,至聖里,621,287
大同區,老師里,452,249
大同區,重慶里,545,324
大同區,保安里,287,156
萬華區,福星里,427,236
萬華區,萬壽里,250,114
萬華區,西門里,295,115
萬華區,新起里,459,162
萬華區,菜園里,491,183
萬華區,青山里,347,152
萬華區,富民里,350,147
萬華區,福音里,257,132
萬華區,仁德里,271,125
萬華區,富福里,299,162
萬華區,頂碩里,505,267
萬華區,雙園里,422,247
萬華區,新忠里,199,125
萬華區,新和里,515,271
萬華區,糖廍里,399,164
萬華區,和平里,488,177
萬華區,綠堤里,267,141
萬華區,華江里,653,271
萬華區,柳鄉里,377,180
萬華區,日善里,293,157
萬華區,新安里,378,220
萬華區,忠德里,341,211
萬華區,孝德里,271,115
萬華區,和德里,585,302
萬華區,錦德里,475,165
萬華區,全德里,385,255
萬華區,保德里,232,157
萬華區,銘德里,347,154
萬華區,榮德里,286,114
萬華區,壽德里,386,276
萬華區,興德里,407,276
萬華區,華中里,472,256
萬華區,日祥里,367,178
萬華區,忠貞里,272,166
萬華區,凌霄里,229,118
萬華區,騰雲里,175,72
文山區,景行里,641,684
文山區,景東里,561,558
文山區,景美里,408,422
文山區,景慶里,475,486
文山區,景仁里,432,330
文山區,景華里,411,372
文山區,萬有里,429,347
文山區,萬祥里,335,247
文山區,萬隆里,573,441
文山區,萬年里,379,186
文山區,萬和里,226,127
文山區,萬盛里,319,167
文山區,興豐里,301,284
文山區,興光里,247,147
文山區,興家里,560,327
文山區,興得里,434,275
文山區,興業里,394,183
文山區,興安里,469,345
文山區,興福里,493,437
文山區,興旺里,763,311
文山區,興泰里,288,139
文山區,興昌里,469,319
文山區,試院里,522,313
文山區,華興里,684,450
文山區,明義里,290,309
文山區,明興里,429,266
文山區,木柵里,612,469
文山區,木新里,588,421
文山區,順興里,677,439
文山區,樟林里,612,406
文山區,樟新里,521,312
文山區,樟腳里,471,375
文山區,萬芳里,573,379
文山區,博嘉里,420,224
