the_geom,people_age_018_f,people_age_023_f,people_age_023_m,people_age_022_f,people_age_022_m,people_age_021_f,people_age_021_m,people_age_020_f,people_age_020_m,people_age_019_f,people_age_019_m,cartodb_id,people_age_018_m,people_age_017_f,people_age_017_m,people_age_016_f,people_age_016_m,people_age_015_f,people_age_015_m,people_total_f,people_total_m,people_total,village,site_id
,8,15,8,14,20,19,15,22,12,18,10,178,9,14,13,12,9,16,13,1866,1631,3497,板溪里,中正區
,28,27,30,39,40,24,38,34,28,31,24,2,21,25,19,37,34,28,19,2896,2702,5598,莊敬里,松山區
,38,43,40,46,53,46,40,50,49,48,51,3,49,43,47,47,68,46,44,4463,3869,8332,東榮里,松山區
,27,31,40,33,33,27,42,31,26,41,40,4,41,43,19,36,44,36,32,3876,3294,7170,三民里,松山區
,17,21,37,22,24,23,27,20,27,26,22,5,21,19,21,23,26,26,28,2536,2284,4820,新益里,松山區
,35,24,21,25,29,25,35,36,31,25,25,6,20,23,28,27,28,30,30,2937,2513,5450,富錦里,松山區
,17,25,28,21,21,28,21,23,42,28,37,7,21,23,33,26,24,22,25,2724,2436,5160,新東里,松山區
,15,20,13,31,33,33,15,21,27,27,27,8,24,25,28,23,24,17,18,2720,2114,4834,富泰里,松山區
,24,13,30,21,23,39,25,16,24,31,25,9,21,25,24,30,30,33,47,2505,2284,4789,介壽里,松山區
,19,15,22,22,18,13,23,24,31,26,25,10,30,24,34,35,26,18,25,2447,2156,4603,精忠里,松山區
,45,46,48,42,47,43,46,54,52,44,34,11,46,43,33,37,27,36,46,3940,3480,7420,東光里,松山區
,68,38,41,46,42,43,47,48,50,57,63,12,61,62,68,49,86,76,74,5923,5226,11149,龍田里,松山區
,19,15,17,12,12,21,26,16,18,25,21,13,12,16,21,18,18,16,23,1563,1379,2942,東昌里,松山區
,14,16,22,16,32,17,23,26,24,18,16,14,23,22,29,28,32,28,25,2484,2165,4649,東勢里,松山區
,29,33,45,29,31,27,36,28,35,39,46,15,40,52,38,36,37,36,47,3565,3176,6741,中華里,松山區
,45,61,40,29,42,58,54,43,54,52,50,16,39,34,30,39,63,32,37,4829,4189,9018,民有里,松山區
,30,39,40,34,31,42,33,38,50,20,29,17,39,25,44,23,25,28,22,3504,3145,6649,民福里,松山區
,29,43,37,34,44,35,56,46,44,49,39,18,44,31,38,31,42,28,31,4091,4082,8173,慈祐里,松山區
,30,46,53,53,45,50,52,47,51,47,54,19,36,38,47,50,44,34,35,4514,4116,8630,安平里,松山區
,35,29,38,28,44,33,44,31,44,33,40,20,34,42,32,36,37,30,29,2975,2797,5772,鵬程里,松山區
,42,46,60,47,58,56,46,59,85,70,51,21,78,50,66,50,68,49,63,5341,4849,10190,自強里,松山區
,47,46,59,40,58,60,52,59,54,44,35,22,41,48,48,32,47,39,40,4656,4090,8746,吉祥里,松山區
,44,55,50,49,56,41,59,62,66,46,50,23,40,29,40,43,43,52,40,4471,3897,8368,新聚里,松山區
,27,44,48,35,35,30,45,36,34,46,36,24,30,46,34,40,29,29,40,3565,3205,6770,復盛里,松山區
,54,50,60,47,48,58,47,48,56,55,63,25,54,57,69,79,86,80,76,5730,5057,10787,中正里,松山區
,19,21,27,17,21,14,27,16,27,26,22,26,19,20,26,29,33,36,30,2437,2137,4574,中崙里,松山區
,23,11,22,18,13,19,12,21,15,19,20,27,17,15,24,23,19,13,25,1984,1806,3790,美仁里,松山區
,15,27,18,18,23,19,43,19,23,20,30,28,30,21,31,21,29,27,20,2255,2039,4294,吉仁里,松山區
,36,43,32,29,35,30,42,28,44,47,36,29,40,38,42,44,44,39,42,3922,3574,7496,敦化里,松山區
,18,7,18,10,15,19,24,16,16,15,9,30,21,26,15,20,23,21,22,1804,1647,3451,復源里,松山區
,20,17,30,26,23,17,24,18,28,35,36,31,31,33,18,26,30,21,38,2540,2324,4864,復建里,松山區
,34,26,38,34,35,33,39,34,30,30,36,32,32,30,32,37,35,36,32,3611,3037,6648,復勢里,松山區
,12,17,15,8,11,17,20,15,19,19,14,33,20,9,18,15,22,17,12,1511,1289,2800,福成里,松山區
,14,20,23,23,14,16,18,19,18,18,22,34,23,12,16,15,25,12,14,1982,1728,3710,松基里,松山區
,20,34,36,24,24,27,27,30,28,27,34,35,17,20,16,15,17,24,20,2956,3121,6077,西村里,信義區
,33,17,13,25,24,21,30,21,29,22,18,36,31,22,28,24,19,38,25,2675,2224,4899,正和里,信義區
