site_id,village,household_no,people_total,old_population,ratio
區域別,村里,戶數,人口數,old_population,ratio
松山區,莊敬里,2071,5598,1013,0.1809574848
松山區,東榮里,2975,8332,1523,0.1827892463
松山區,三民里,2922,7170,1417,0.1976290098
松山區,新益里,1845,4820,858,0.1780082988
松山區,富錦里,2133,5450,968,0.1776146789
松山區,新東里,1996,5160,882,0.1709302326
松山區,富泰里,2017,4834,884,0.1828713281
松山區,介壽里,1750,4789,838,0.1749843391
松山區,精忠里,1725,4603,819,0.1779274386
松山區,東光里,3029,7420,1473,0.1985175202
松山區,龍田里,4248,11149,1715,0.1538254552
松山區,東昌里,1036,2942,501,0.1702923182
松山區,東勢里,1816,4649,849,0.1826199183
松山區,中華里,2516,6741,1154,0.1711912179
松山區,民有里,3451,9018,1784,0.1978265691
松山區,民福里,2660,6649,1247,0.1875469995
松山區,慈祐里,4045,8173,1268,0.1551449896
松山區,安平里,3537,8630,1431,0.1658169177
松山區,鵬程里,2153,5772,879,0.1522869023
松山區,自強里,3752,10190,1935,0.189892051
松山區,吉祥里,3421,8746,1512,0.1728790304
松山區,新聚里,3336,8368,1290,0.1541586998
松山區,復盛里,2572,6770,1174,0.1734121123
松山區,中正里,3922,10787,1295,0.1200519143
松山區,中崙里,1724,4574,585,0.127896808
松山區,美仁里,1344,3790,592,0.1562005277
松山區,吉仁里,1567,4294,680,0.158360503
松山區,敦化里,2597,7496,1144,0.1526147279
松山區,復源里,1255,3451,493,0.1428571429
松山區,復建里,1829,4864,687,0.1412417763
松山區,復勢里,2578,6648,1085,0.1632069795
松山區,福成里,1004,2800,492,0.1757142857
松山區,松基里,1455,3710,679,0.1830188679
信義區,西村里,2961,6077,1278,0.2103011354
信義區,正和里,1914,4899,903,0.1843233313
信義區,興隆里,1263,3027,642,0.2120911794
信義區,中興里,1762,3701,623,0.168332883
信義區,新仁里,1405,3609,655,0.1814907177
信義區,興雅里,2495,6072,1191,0.1961462451
信義區,敦厚里,2316,5450,903,0.1656880734
信義區,廣居里,3158,8416,1233,0.146506654
信義區,安康里,4398,11205,1544,0.137795627
信義區,六藝里,1406,4014,580,0.1444942701
信義區,雅祥里,2092,5196,771,0.1483833718
信義區,五常里,1478,3934,612,0.1555668531
信義區,五全里,2025,5212,884,0.1696085955
信義區,永吉里,1438,4249,542,0.1275594257
信義區,長春里,1677,4338,689,0.1588289534
信義區,四育里,2187,5819,968,0.1663516068
信義區,四維里,2168,5527,896,0.1621132622
信義區,永春里,1994,5169,893,0.1727606887
信義區,富台里,1991,4582,647,0.1412047141
信義區,國業里,3002,8200,1209,0.1474390244
信義區,松隆里,887,2363,373,0.1578501904
信義區,松友里,2563,7254,1088,0.1499862145
信義區,松光里,2086,5100,1060,0.2078431373
信義區,中坡里,1690,4687,777,0.165777683
信義區,中行里,2979,8475,1211,0.1428908555
信義區,大道里,2402,6348,1103,0.1737555135
信義區,大仁里,1655,4184,836,0.1998087954
信義區,景新里,2195,5381,945,0.1756179149
信義區,惠安里,2622,6859,995,0.1450648783
信義區,三張里,3639,9257,1702,0.1838608621
信義區,三犁里,2155,5448,994,0.1824522761
信義區,六合里,2833,7057,1184,0.1677766756
信義區,泰和里,3140,8261,1154,0.1396925312
信義區,景聯里,1918,4786,878,0.1834517342
信義區,景勤里,1686,4242,780,0.1838755304
信義區,雙和里,2927,7449,1164,0.1562625856
信義區,嘉興里,1333,3308,577,0.1744256348
信義區,黎順里,1790,4328,707,0.1633548983
信義區,黎平里,3022,7408,1206,0.1627969762
信義區,黎忠里,1993,4998,843,0.168667467
信義區,黎安里,965,2170,502,0.2313364055
大安區,德安里,2348,5966,1184,0.1984579283
大安區,仁慈里,2025,5821,883,0.1516921491
大安區,和安里,2500,7424,1171,0.157731681
大安區,民炤里,3213,8398,1706,0.2031436056
大安區,仁愛里,2234,5560,1276,0.2294964029
大安區,義村里,2539,6013,1338,0.2225178779
大安區,民輝里,2873,7071,1494,0.2112855325
大安區,昌隆里,1208,3183,812,0.2551052466
大安區,誠安里,1822,4261,907,0.2128608308
大安區,光武里,3259,7910,1563,0.1975979772
大安區,龍坡里,2278,6059,1161,0.1916157782
大安區,龍泉里,2026,5085,800,0.1573254671
大安區,古風里,1790,4333,796,0.183706439
大安區,古莊里,3042,7399,1279,0.1728611975
大安區,龍安里,3678,8411,1485,0.1765545119
大安區,錦安里,2367,6481,987,0.1522913131
大安區,福住里,2386,6920,985,0.1423410405
大安區,永康里,1489,3991,630,0.1578551741
大安區,光明里,1401,3825,516,0.1349019608
大安區,錦泰里,1376,3863,625,0.1617913539
大安區,錦華里,2158,6117,851,0.1391204839
大安區,龍圖里,2840,7142,1345,0.1883225987
大安區,新龍里,2633,7254,1146,0.1579818031
大安區,龍陣里,1470,3668,753,0.2052889858
大安區,龍雲里,1911,5075,1013,0.1996059113
大安區,龍生里,2600,7223,1093,0.1513221653
大安區,住安里,2305,5471,1014,0.1853408883
大安區,義安里,2190,5544,1097,0.1978715729
大安區,通化里,2594,6379,1018,0.159586142
大安區,通安里,2366,5874,1015,0.1727953694
大安區,臨江里,1743,4330,731,0.1688221709
大安區,法治里,1877,4615,835,0.1809317443
大安區,全安里,1830,4557,958,0.2102260259
大安區,群賢里,2504,6149,1224,0.1990567572
大安區,群英里,3021,7325,1237,0.1688737201
大安區,虎嘯里,1689,3860,726,0.1880829016
大安區,臥龍里,811,2109,399,0.1891891892
大安區,龍淵里,3527,10352,1499,0.1448029366
大安區,龍門里,1639,4678,846,0.1808465156
大安區,大學里,3543,8898,1707,0.1918408631
大安區,芳和里,2349,6008,1100,0.1830892144
大安區,黎元里,2077,5749,853,0.1483736302
大安區,黎孝里,3046,7800,1352,0.1733333333
大安區,黎和里,2058,4996,796,0.159327462
大安區,建安里,2142,5183,1053,0.2031641906
大安區,建倫里,2440,6553,1347,0.2055547078
大安區,敦安里,2506,6750,1266,0.1875555556
大安區,正聲里,1948,5111,938,0.1835257288
大安區,敦煌里,2371,6519,1230,0.1886792453
大安區,華聲里,1752,4506,855,0.189747004
大安區,車層里,2489,6619,1411,0.2131741955
大安區,光信里,3050,8241,1464,0.1776483436
大安區,學府里,1113,2850,686,0.2407017544
中山區,正守里,1403,3269,581,0.1777301927
中山區,正義里,2728,5398,799,0.1480177844
中山區,正得里,1993,3799,677,0.1782047907
中山區,民安里,2134,4740,959,0.2023206751
中山區,康樂里,1517,2693,451,0.1674712217
中山區,中山里,3564,6603,970,0.1469029229
中山區,聚盛里,2357,4241,639,0.1506720113
中山區,集英里,3242,7455,1084,0.1454057679
