site_id,village,household_no,people_total,people_total_m,people_total_f,people_age_065_m,people_age_065_f,people_age_066_m,people_age_066_f,people_age_067_m,people_age_067_f,people_age_068_m,people_age_068_f,people_age_069_m,people_age_069_f,people_age_070_m,people_age_070_f,people_age_071_m,people_age_071_f,people_age_072_m,people_age_072_f,people_age_073_m,people_age_073_f,people_age_074_m,people_age_074_f,people_age_075_m,people_age_075_f,people_age_076_m,people_age_076_f,people_age_077_m,people_age_077_f,people_age_078_m,people_age_078_f,people_age_079_m,people_age_079_f,people_age_080_m,people_age_080_f,people_age_081_m,people_age_081_f,people_age_082_m,people_age_082_f,people_age_083_m,people_age_083_f,people_age_084_m,people_age_084_f,people_age_085_m,people_age_085_f,people_age_086_m,people_age_086_f,people_age_087_m,people_age_087_f,people_age_088_m,people_age_088_f,people_age_089_m,people_age_089_f,people_age_090_m,people_age_090_f,people_age_091_m,people_age_091_f,people_age_092_m,people_age_092_f,people_age_093_m,people_age_093_f,people_age_094_m,people_age_094_f,people_age_095_m,people_age_095_f,people_age_096_m,people_age_096_f,people_age_097_m,people_age_097_f,people_age_098_m,people_age_098_f,people_age_099_m,people_age_099_f,people_age_100up_m,people_age_100up_f,old_population
區域別,村里,戶數,人口數,人口數-男,人口數-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,old_population
松山區,莊敬里,2071,5598,2702,2896,37,46,32,48,35,38,22,38,35,38,18,33,17,31,25,28,25,29,17,19,17,19,20,15,18,17,10,14,13,12,9,16,11,12,8,15,8,11,14,11,9,13,15,6,13,4,11,9,8,3,6,7,4,4,1,2,4,4,2,0,1,0,1,1,1,2,0,0,1,0,0,0,1013
松山區,東榮里,2975,8332,3869,4463,71,71,49,64,52,72,46,55,47,38,27,40,28,41,36,50,44,26,30,40,34,28,24,37,14,19,22,30,16,29,13,21,10,25,15,17,13,24,15,12,13,12,10,18,11,7,4,17,4,10,6,12,4,9,4,3,4,1,4,7,5,2,0,3,2,4,1,0,1,0,0,0,1523
松山區,三民里,2922,7170,3294,3876,53,54,36,46,30,64,50,57,42,56,20,31,27,41,34,43,34,36,25,38,30,38,31,24,22,25,15,24,13,28,18,23,12,19,12,14,15,11,16,11,10,17,14,4,8,16,6,13,15,13,4,9,12,4,7,4,6,3,7,4,2,2,2,2,2,1,2,1,1,2,0,6,1417
松山區,新益里,1845,4820,2284,2536,30,43,23,37,29,36,23,38,25,27,18,25,18,18,20,21,22,21,19,19,12,22,22,19,19,20,6,15,14,10,2,8,5,14,12,8,7,7,6,12,5,9,5,6,8,10,4,9,3,6,7,6,4,2,3,4,1,3,1,4,0,1,1,0,0,2,0,0,0,1,1,0,858
松山區,富錦里,2133,5450,2513,2937,44,63,34,35,31,44,36,41,28,40,17,30,17,16,27,25,21,20,17,20,16,16,17,28,19,18,9,15,14,12,6,19,8,20,4,14,8,12,7,7,4,6,8,5,5,4,10,5,8,6,7,5,4,5,1,4,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,968
松山區,新東里,1996,5160,2436,2724,35,53,36,47,37,40,32,36,27,30,30,17,16,19,15,23,19,17,17,22,17,16,10,20,10,11,18,10,12,11,5,21,5,11,5,18,7,9,5,6,5,7,5,6,3,7,2,6,8,8,5,4,2,2,1,1,0,2,2,1,1,4,0,2,0,1,1,0,0,0,1,0,882
松山區,富泰里,2017,4834,2114,2720,34,46,28,33,24,34,22,38,22,28,22,25,20,25,13,33,14,17,22,18,12,16,14,22,11,12,12,19,13,17,10,15,13,19,12,7,13,9,6,10,5,5,7,7,9,8,9,7,3,5,1,6,7,2,2,4,1,4,3,3,3,1,1,0,0,0,0,0,0,0,0,1,884
松山區,介壽里,1750,4789,2284,2505,22,50,31,36,30,39,20,33,29,21,21,21,14,15,26,22,18,25,14,17,20,15,17,19,10,13,22,13,6,17,7,11,8,11,12,5,8,6,8,7,5,7,5,3,5,8,4,5,5,7,5,6,2,3,4,5,1,5,1,2,3,4,1,0,1,1,1,0,0,0,0,0,838
松山區,精忠里,1725,4603,2156,2447,33,27,32,34,28,39,31,32,25,26,17,22,13,24,18,20,20,19,17,16,12,13,8,19,12,12,8,10,5,14,8,12,5,10,10,8,5,8,7,14,6,12,9,10,6,13,9,8,3,6,5,2,3,6,2,4,3,0,1,4,2,3,1,3,0,1,2,0,0,1,1,0,819
