代碼,學校名稱,公/私立,縣市名稱,地址
11601,私立育才國小,私立,新北市,[234]新北市永和區福和路125巷20號
11602,私立聖心國小,私立,新北市,[249]新北市八里區龍米路一段261號
11603,私立及人國小,私立,新北市,[234]新北市永和區文化路172號
11604,私立竹林國小,私立,新北市,[234]新北市永和區竹林路34號
11606,私立信賢種籽親子實小,私立,新北市,[233]新北市烏來區信賢里娃娃谷41號
13601,市立北大國小,公立,新北市,[237]新北市三峽區國光街100號(門牌初編)
14601,市立板橋國小,公立,新北市,[220]新北市板橋區黃石里文化路一段23號
14602,市立國光國小,公立,新北市,[220]新北市板橋區中正路325巷30號
14603,市立新埔國小,公立,新北市,[220]新北市板橋區新翠里陽明街206號
14604,市立埔墘國小,公立,新北市,[220]新北市板橋區永豐街42之8號
14605,市立莒光國小,公立,新北市,[220]新北市板橋區華翠里莒光路163號
14606,市立後埔國小,公立,新北市,[220]新北市板橋區重慶路157號
14607,市立海山國小,公立,新北市,[220]新北市板橋區漢生東路280號
14608,市立江翠國小,公立,新北市,[220]新北市板橋區松翠里文化路二段413號
14610,市立文聖國小,公立,新北市,[220]新北市板橋區文聖街86號
14611,市立沙崙國小,公立,新北市,[220]新北市板橋區篤行路二段132號
14612,市立文德國小,公立,新北市,[220]新北市板橋區新翠里英士路179號
14613,市立樹林國小,公立,新北市,[238]新北市樹林區樹西里育英街176號
14614,市立文林國小,公立,新北市,[238]新北市樹林區潭底里千歲街59號
14615,市立大同國小,公立,新北市,[238]新北市樹林區大同里大同街43號
14616,市立武林國小,公立,新北市,[238]新北市樹林區保安街二段151號
14617,市立山佳國小,公立,新北市,[238]新北市樹林區中山路三段5號
14618,市立育德國小,公立,新北市,[238]新北市樹林區中山里佳園路一段34號
14619,市立柑園國小,公立,新北市,[238]新北市樹林區柑園街一段353號
14620,市立鶯歌國小,公立,新北市,[239]新北市鶯歌區同慶里尖山埔路106號
14621,市立二橋國小,公立,新北市,[239]新北市鶯歌區二橋里中正三路106號
14622,市立中湖國小,公立,新北市,[239]新北市鶯歌區中湖里中湖街25號
14623,市立鳳鳴國小,公立,新北市,[239]新北市鶯歌區鳳鳴里永和街120號
14624,市立三峽國小,公立,新北市,[237]新北市三峽區中山路16號
14625,市立大埔國小,公立,新北市,[237]新北市三峽區大埔路130號
14626,市立民義國小,公立,新北市,[237]新北市三峽區嘉添里白雞路40號
14627,市立成福國小,公立,新北市,[237]新北市三峽區溪東里溪東路213號
14628,市立大成國小,公立,新北市,[237]新北市三峽區成福路251巷二號
14629,市立建安國小,公立,新北市,[237]新北市三峽區安坑里建安路67號
14630,市立插角國小,公立,新北市,[237]新北市三峽區插角里插角路39號
14631,市立有木國小,公立,新北市,[237]新北市三峽區有木里131號
14632,市立五寮國小,公立,新北市,[237]新北市三峽區五寮里69號
14633,市立中和國小,公立,新北市,[235]新北市中和區中和路100號
14634,市立復興國小,公立,新北市,[235]新北市中和區復興路301巷6號
14635,市立興南國小,公立,新北市,[235]新北市中和區興南路一段135巷24號
14636,市立秀山國小,公立,新北市,[235]新北市中和區立人街2號
14637,市立積穗國小,公立,新北市,[235]新北市中和區員山路154號
14638,市立自強國小,公立,新北市,[235]新北市中和區莒光路200號
