site_id,village,people_total,people_total_m,people_total_f,,ratio
區域別,村里,人口數,人口數-男,人口數-女,,ratio
板橋區,留侯里,"1,662.00",783,879,457.00,0.583652618135377
板橋區,流芳里,"1,577.00",737,840,255.00,0.345997286295794
板橋區,赤松里,833.00,405,428,255.00,0.62962962962963
板橋區,黃石里,"1,189.00",582,607,159.00,0.27319587628866
板橋區,挹秀里,"1,796.00",877,919,167.00,0.19042189281642
板橋區,湳興里,"5,690.00",2739,2951,363.00,0.132530120481928
板橋區,新興里,"3,276.00",1567,1709,807.00,0.514996809189534
板橋區,社後里,"9,224.00",5133,4091,460.00,0.0896162088447302
板橋區,香社里,"4,517.00",2247,2270,"1,091.00",0.485536270583
板橋區,中正里,"4,531.00",2217,2314,601.00,0.271087054578259
板橋區,自強里,"5,399.00",2637,2762,598.00,0.226772847933258
板橋區,自立里,"2,930.00",1420,1510,"1,183.00",0.833098591549296
板橋區,光華里,"2,794.00",1376,1418,406.00,0.295058139534884
板橋區,國光里,"3,859.00",1884,1975,518.00,0.274946921443737
板橋區,港尾里,"3,059.00",1444,1615,889.00,0.615650969529086
板橋區,金華里,"4,151.00",2031,2120,512.00,0.252092565238799
板橋區,港德里,"5,125.00",2539,2586,508.00,0.200078771169752
板橋區,民權里,"2,768.00",1366,1402,681.00,0.498535871156662
板橋區,建國里,"3,713.00",1814,1899,472.00,0.260198456449835
板橋區,漢生里,"4,463.00",2164,2299,513.00,0.237060998151571
板橋區,公舘里,"4,107.00",2007,2100,809.00,0.403089187842551
板橋區,新民里,"4,679.00",2273,2406,560.00,0.246370435547734
板橋區,幸福里,"4,157.00",2074,2083,761.00,0.366923818707811
板橋區,忠誠里,"4,252.00",2064,2188,536.00,0.25968992248062
板橋區,百壽里,"2,493.00",1199,1294,861.00,0.718098415346122
板橋區,介壽里,"3,200.00",1532,1668,318.00,0.20757180156658
板橋區,新埔里,"2,202.00",1072,1130,414.00,0.386194029850746
板橋區,華江里,"7,741.00",3582,4159,360.00,0.100502512562814
板橋區,江翠里,"4,912.00",2415,2497,"1,415.00",0.58592132505176
板橋區,純翠里,"5,647.00",2772,2875,675.00,0.243506493506494
板橋區,溪頭里,"6,308.00",3099,3209,818.00,0.263956114875766
板橋區,聯翠里,"3,794.00",1782,2012,935.00,0.524691358024691
板橋區,宏翠里,"4,990.00",2385,2605,696.00,0.291823899371069
板橋區,仁翠里,"3,035.00",1478,1557,738.00,0.499323410013532
板橋區,新翠里,"8,173.00",3930,4243,335.00,0.0852417302798982
板橋區,吉翠里,"3,949.00",1928,2021,"1,373.00",0.712136929460581
板橋區,德翠里,"7,626.00",3729,3897,470.00,0.126039152587825
板橋區,滿翠里,"3,122.00",1508,1614,"1,170.00",0.775862068965517
板橋區,明翠里,"5,061.00",2450,2611,343.00,0.14
板橋區,松翠里,"3,532.00",1710,1822,714.00,0.417543859649123
板橋區,柏翠里,"4,225.00",2011,2214,512.00,0.254599701640975
板橋區,龍翠里,"5,268.00",2545,2723,650.00,0.255402750491159
板橋區,華翠里,"3,844.00",1848,1996,856.00,0.463203463203463
板橋區,忠翠里,"11,002.00",5194,5808,619.00,0.119175972275703
板橋區,嵐翠里,"2,659.00",1337,1322,"2,116.00",1.58264771877337
板橋區,文翠里,"4,201.00",2074,2127,307.00,0.148023143683703
板橋區,青翠里,"3,126.00",1612,1514,638.00,0.395781637717122
板橋區,懷翠里,"6,248.00",3082,3166,393.00,0.127514600908501
板橋區,福翠里,"1,401.00",705,696,819.00,1.16170212765957
板橋區,港嘴里,"6,417.00",3191,3226,167.00,0.0523346913193356
板橋區,振興里,"4,615.00",2272,2343,990.00,0.435739436619718
板橋區,振義里,"4,400.00",2152,2248,606.00,0.281598513011152
板橋區,光復里,"3,462.00",1756,1706,535.00,0.304669703872437
板橋區,埔墘里,"6,554.00",3137,3417,474.00,0.15109977685687
板橋區,長壽里,"2,969.00",1457,1512,983.00,0.674673987645848
板橋區,福壽里,"3,485.00",1708,1777,607.00,0.355386416861827
板橋區,海山里,"8,510.00",4055,4455,"1,305.00",0.321824907521578
板橋區,九如里,"3,005.00",1443,1562,374.00,0.259182259182259
板橋區,玉光里,"5,665.00",2670,2995,762.00,0.285393258426966
板橋區,光仁里,"3,115.00",1533,1582,427.00,0.278538812785388
板橋區,埤墘里,"4,572.00",2193,2379,596.00,0.271773825809394
板橋區,永安里,"3,685.00",1807,1878,530.00,0.293303818483675
板橋區,雙玉里,"4,333.00",2098,2235,503.00,0.239752144899905
板橋區,廣新里,"3,835.00",1900,1935,427.00,0.224736842105263
板橋區,深丘里,"9,345.00",4476,4869,"1,738.00",0.388293118856122
板橋區,香丘里,"4,064.00",1982,2082,565.00,0.285065590312815
板橋區,西安里,"2,859.00",1412,1447,431.00,0.305240793201133
板橋區,東丘里,"4,989.00",2448,2541,698.00,0.285130718954248
板橋區,長安里,"4,975.00",2414,2561,739.00,0.306130903065452
板橋區,福丘里,"5,027.00",2325,2702,"1,070.00",0.460215053763441
板橋區,福祿里,"4,146.00",1952,2194,637.00,0.326331967213115
板橋區,民族里,"5,174.00",2504,2670,874.00,0.349041533546326
板橋區,國泰里,"3,843.00",1826,2017,548.00,0.300109529025192
板橋區,福德里,"5,433.00",2708,2725,824.00,0.304283604135894
板橋區,景星里,"3,586.00",1718,1868,603.00,0.350989522700815
板橋區,福星里,"3,710.00",1778,1932,678.00,0.38132733408324
板橋區,鄉雲里,"3,899.00",1848,2051,613.00,0.331709956709957
板橋區,廣德里,"7,121.00",3464,3657,"1,152.00",0.33256351039261
板橋區,大豐里,"4,909.00",2396,2513,718.00,0.299666110183639
