statistic_yyymm,site_id,village,people_total,people_total_m,people_total_f
統計年月,區域別,村里,人口數,人口數-男,人口數-女
10509,板橋區,留侯里,1662,783,879
10509,板橋區,流芳里,1577,737,840
10509,板橋區,赤松里,833,405,428
10509,板橋區,黃石里,1189,582,607
10509,板橋區,挹秀里,1796,877,919
10509,板橋區,湳興里,5690,2739,2951
10509,板橋區,新興里,3276,1567,1709
10509,板橋區,社後里,9224,5133,4091
10509,板橋區,香社里,4517,2247,2270
10509,板橋區,中正里,4531,2217,2314
10509,板橋區,自強里,5399,2637,2762
10509,板橋區,自立里,2930,1420,1510
10509,板橋區,光華里,2794,1376,1418
10509,板橋區,國光里,3859,1884,1975
10509,板橋區,港尾里,3059,1444,1615
10509,板橋區,金華里,4151,2031,2120
10509,板橋區,港德里,5125,2539,2586
10509,板橋區,民權里,2768,1366,1402
10509,板橋區,建國里,3713,1814,1899
10509,板橋區,漢生里,4463,2164,2299
10509,板橋區,公舘里,4107,2007,2100
10509,板橋區,新民里,4679,2273,2406
10509,板橋區,幸福里,4157,2074,2083
10509,板橋區,忠誠里,4252,2064,2188
10509,板橋區,百壽里,2493,1199,1294
10509,板橋區,介壽里,3200,1532,1668
10509,板橋區,新埔里,2202,1072,1130
10509,板橋區,華江里,7741,3582,4159
10509,板橋區,江翠里,4912,2415,2497
10509,板橋區,純翠里,5647,2772,2875
10509,板橋區,溪頭里,6308,3099,3209
10509,板橋區,聯翠里,3794,1782,2012
10509,板橋區,宏翠里,4990,2385,2605
10509,板橋區,仁翠里,3035,1478,1557
10509,板橋區,新翠里,8173,3930,4243
10509,板橋區,吉翠里,3949,1928,2021
10509,板橋區,德翠里,7626,3729,3897
10509,板橋區,滿翠里,3122,1508,1614
10509,板橋區,明翠里,5061,2450,2611
10509,板橋區,松翠里,3532,1710,1822
10509,板橋區,柏翠里,4225,2011,2214
10509,板橋區,龍翠里,5268,2545,2723
10509,板橋區,華翠里,3844,1848,1996
10509,板橋區,忠翠里,11002,5194,5808
10509,板橋區,嵐翠里,2659,1337,1322
10509,板橋區,文翠里,4201,2074,2127
10509,板橋區,青翠里,3126,1612,1514
10509,板橋區,懷翠里,6248,3082,3166
10509,板橋區,福翠里,1401,705,696
10509,板橋區,港嘴里,6417,3191,3226
10509,板橋區,振興里,4615,2272,2343
10509,板橋區,振義里,4400,2152,2248
10509,板橋區,光復里,3462,1756,1706
10509,板橋區,埔墘里,6554,3137,3417
10509,板橋區,長壽里,2969,1457,1512
10509,板橋區,福壽里,3485,1708,1777
10509,板橋區,海山里,8510,4055,4455
10509,板橋區,九如里,3005,1443,1562
