the_geom,cartodb_id,ratio,sum,people_total_f,people_total_m,people_total,village,site_id
,2,0.325670498084291,255.00,879,783,"1,662.00",留侯里,板橋區
,3,0.345997286295794,255.00,840,737,"1,577.00",流芳里,板橋區
,4,0.392592592592593,159.00,428,405,833.00,赤松里,板橋區
,5,0.286941580756014,167.00,607,582,"1,189.00",黃石里,板橋區
,6,0.413911060433295,363.00,919,877,"1,796.00",挹秀里,板橋區
,7,0.294633077765608,807.00,2951,2739,"5,690.00",湳興里,板橋區
,8,0.293554562858966,460.00,1709,1567,"3,276.00",新興里,板橋區
,9,0.212546269238262,"1,091.00",4091,5133,"9,224.00",社後里,板橋區
,10,0.267467734757454,601.00,2270,2247,"4,517.00",香社里,板橋區
,11,0.269733874605323,598.00,2314,2217,"4,531.00",中正里,板橋區
,12,0.448615851346227,"1,183.00",2762,2637,"5,399.00",自強里,板橋區
,13,0.285915492957747,406.00,1510,1420,"2,930.00",自立里,板橋區
,14,0.376453488372093,518.00,1418,1376,"2,794.00",光華里,板橋區
,15,0.471868365180467,889.00,1975,1884,"3,859.00",國光里,板橋區
,16,0.354570637119114,512.00,1615,1444,"3,059.00",港尾里,板橋區
,17,0.250123092072871,508.00,2120,2031,"4,151.00",金華里,板橋區
,18,0.26821583300512,681.00,2586,2539,"5,125.00",港德里,板橋區
,19,0.345534407027818,472.00,1402,1366,"2,768.00",民權里,板橋區
,20,0.282800441014333,513.00,1899,1814,"3,713.00",建國里,板橋區
,21,0.373844731977819,809.00,2299,2164,"4,463.00",漢生里,板橋區
,22,0.279023418036871,560.00,2100,2007,"4,107.00",公舘里,板橋區
,23,0.334799824021117,761.00,2406,2273,"4,679.00",新民里,板橋區
,24,0.258437801350048,536.00,2083,2074,"4,157.00",幸福里,板橋區
,25,0.417151162790698,861.00,2188,2064,"4,252.00",忠誠里,板橋區
,26,0.265221017514596,318.00,1294,1199,"2,493.00",百壽里,板橋區
,27,0.27023498694517,414.00,1668,1532,"3,200.00",介壽里,板橋區
,28,0.335820895522388,360.00,1130,1072,"2,202.00",新埔里,板橋區
,29,0.395030709101061,"1,415.00",4159,3582,"7,741.00",華江里,板橋區
,30,0.279503105590062,675.00,2497,2415,"4,912.00",江翠里,板橋區
,31,0.295093795093795,818.00,2875,2772,"5,647.00",純翠里,板橋區
,32,0.301710229106163,935.00,3209,3099,"6,308.00",溪頭里,板橋區
,33,0.390572390572391,696.00,2012,1782,"3,794.00",聯翠里,板橋區
,34,0.309433962264151,738.00,2605,2385,"4,990.00",宏翠里,板橋區
,35,0.226657645466847,335.00,1557,1478,"3,035.00",仁翠里,板橋區
,36,0.349363867684478,"1,373.00",4243,3930,"8,173.00",新翠里,板橋區
,37,0.243775933609959,470.00,2021,1928,"3,949.00",吉翠里,板橋區
,38,0.313757039420756,"1,170.00",3897,3729,"7,626.00",德翠里,板橋區
,39,0.227453580901857,343.00,1614,1508,"3,122.00",滿翠里,板橋區
,40,0.291428571428571,714.00,2611,2450,"5,061.00",明翠里,板橋區
,41,0.299415204678363,512.00,1822,1710,"3,532.00",松翠里,板橋區
,42,0.323222277473894,650.00,2214,2011,"4,225.00",柏翠里,板橋區
,43,0.336345776031434,856.00,2723,2545,"5,268.00",龍翠里,板橋區
,44,0.33495670995671,619.00,1996,1848,"3,844.00",華翠里,板橋區
,45,0.40739314593762,"2,116.00",5808,5194,"11,002.00",忠翠里,板橋區
,46,0.229618548990277,307.00,1322,1337,"2,659.00",嵐翠里,板橋區
,47,0.307618129218901,638.00,2127,2074,"4,201.00",文翠里,板橋區
,48,0.243796526054591,393.00,1514,1612,"3,126.00",青翠里,板橋區
,49,0.265736534717716,819.00,3166,3082,"6,248.00",懷翠里,板橋區
,50,0.236879432624113,167.00,696,705,"1,401.00",福翠里,板橋區
,51,0.310247571294265,990.00,3226,3191,"6,417.00",港嘴里,板橋區
,52,0.266725352112676,606.00,2343,2272,"4,615.00",振興里,板橋區
,53,0.24860594795539,535.00,2248,2152,"4,400.00",振義里,板橋區
,54,0.269931662870159,474.00,1706,1756,"3,462.00",光復里,板橋區
,55,0.313356710232706,983.00,3417,3137,"6,554.00",埔墘里,板橋區
,56,0.313658201784489,457.00,1512,1457,"2,969.00",長壽里,板橋區
,57,0.355386416861827,607.00,1777,1708,"3,485.00",福壽里,板橋區
,58,0.321824907521578,"1,305.00",4455,4055,"8,510.00",海山里,板橋區
,59,0.259182259182259,374.00,1562,1443,"3,005.00",九如里,板橋區
,60,0.285393258426966,762.00,2995,2670,"5,665.00",玉光里,板橋區
,61,0.278538812785388,427.00,1582,1533,"3,115.00",光仁里,板橋區
,62,0.271773825809394,596.00,2379,2193,"4,572.00",埤墘里,板橋區
,63,0.293303818483675,530.00,1878,1807,"3,685.00",永安里,板橋區
,64,0.239752144899905,503.00,2235,2098,"4,333.00",雙玉里,板橋區
,65,0.224736842105263,427.00,1935,1900,"3,835.00",廣新里,板橋區
,66,0.388293118856122,"1,738.00",4869,4476,"9,345.00",深丘里,板橋區
,67,0.285065590312815,565.00,2082,1982,"4,064.00",香丘里,板橋區
,68,0.305240793201133,431.00,1447,1412,"2,859.00",西安里,板橋區
,69,0.285130718954248,698.00,2541,2448,"4,989.00",東丘里,板橋區
,70,0.306130903065452,739.00,2561,2414,"4,975.00",長安里,板橋區
,71,0.460215053763441,"1,070.00",2702,2325,"5,027.00",福丘里,板橋區
,72,0.326331967213115,637.00,2194,1952,"4,146.00",福祿里,板橋區
,73,0.349041533546326,874.00,2670,2504,"5,174.00",民族里,板橋區
,74,0.300109529025192,548.00,2017,1826,"3,843.00",國泰里,板橋區
,75,0.304283604135894,824.00,2725,2708,"5,433.00",福德里,板橋區
,76,0.350989522700815,603.00,1868,1718,"3,586.00",景星里,板橋區
,77,0.38132733408324,678.00,1932,1778,"3,710.00",福星里,板橋區
,78,0.331709956709957,613.00,2051,1848,"3,899.00",鄉雲里,板橋區
,79,0.33256351039261,"1,152.00",3657,3464,"7,121.00",廣德里,板橋區
,80,0.299666110183639,718.00,2513,2396,"4,909.00",大豐里,板橋區
,81,0.305788775961114,"1,384.00",4747,4526,"9,273.00",重慶里,板橋區
,82,0.318154219793564,524.00,1662,1647,"3,309.00",仁愛里,板橋區
,83,0.390649350649351,752.00,2162,1925,"4,087.00",和平里,板橋區
,84,0.263380281690141,561.00,2209,2130,"4,339.00",廣福里,板橋區
,85,0.303724928366762,636.00,2238,2094,"4,332.00",華興里,板橋區
,86,0.263347763347763,365.00,1477,1386,"2,863.00",華貴里,板橋區
,87,0.313072439633639,"1,128.00",3847,3603,"7,450.00",華德里,板橋區
,88,0.43914426134721,"1,519.00",3675,3459,"7,134.00",華東里,板橋區
,89,0.267399267399267,584.00,2237,2184,"4,421.00",信義里,板橋區
,90,0.20128087831656,440.00,2074,2186,"4,260.00",浮洲里,板橋區
,91,0.231668437832094,654.00,2803,2823,"5,626.00",華中里,板橋區
,92,0.278438838648263,585.00,2124,2101,"4,225.00",僑中里,板橋區
,93,0.218266978922717,466.00,2185,2135,"4,320.00",中山里,板橋區
,94,0.183514774494557,118.00,436,643,"1,079.00",復興里,板橋區
,95,0.23242994947175,506.00,2154,2177,"4,331.00",大安里,板橋區
,96,0.250562640660165,334.00,1381,1333,"2,714.00",福安里,板橋區
,97,0.22798468499826,655.00,2823,2873,"5,696.00",聚安里,板橋區
,98,0.207508532423208,304.00,1557,1465,"3,022.00",龍安里,板橋區
,99,0.255705090696314,"1,311.00",5325,5127,"10,452.00",崑崙里,板橋區
,100,0.252502421698418,782.00,3256,3097,"6,353.00",溪洲里,板橋區
,101,0.262083780880773,488.00,1936,1862,"3,798.00",溪北里,板橋區
,102,0.283803863298663,382.00,1370,1346,"2,716.00",香雅里,板橋區
,103,0.298068481123793,679.00,2266,2278,"4,544.00",新生里,板橋區
,104,0.333131067961165,549.00,1652,1648,"3,300.00",文德里,板橋區
,105,0.326352530541012,561.00,1803,1719,"3,522.00",文化里,板橋區
,106,0.255443441317047,481.00,1877,1883,"3,760.00",新海里,板橋區
,107,0.321989528795812,492.00,1571,1528,"3,099.00",莒光里,板橋區
,108,0.379125780553078,425.00,1241,1121,"2,362.00",富貴里,板橋區
,109,0.301566579634465,462.00,1671,1532,"3,203.00",正泰里,板橋區
,110,0.323741007194245,360.00,1296,1112,"2,408.00",民生里,板橋區
,111,0.389702170620899,772.00,2039,1981,"4,020.00",後埔里,板橋區
,112,0.315257352941176,343.00,1141,1088,"2,229.00",華福里,板橋區
,113,0.259745948313622,593.00,2296,2283,"4,579.00",堂春里,板橋區
,114,0.265446910617876,885.00,3465,3334,"6,799.00",成和里,板橋區
,115,0.295302013422819,396.00,1366,1341,"2,707.00",光榮里,板橋區
,116,0.329972502291476,360.00,1167,1091,"2,258.00",民安里,板橋區
,117,0.318983768525053,452.00,1493,1417,"2,910.00",陽明里,板橋區
,118,0.263593380614657,446.00,1841,1692,"3,533.00",朝陽里,板橋區
,119,0.287828947368421,350.00,1217,1216,"2,433.00",松柏里,板橋區
,120,0.29873417721519,590.00,2043,1975,"4,018.00",文聖里,板橋區
,121,0.306110458284371,521.00,1741,1702,"3,443.00",居仁里,板橋區
,122,0.341743119266055,745.00,2304,2180,"4,484.00",莊敬里,板橋區
,123,0.228300510576222,313.00,1435,1371,"2,806.00",東安里,板橋區
,124,0.264150943396226,588.00,2231,2226,"4,457.00",五權里,板橋區
,125,0.270187165775401,"2,021.00",7628,7480,"15,108.00",溪福里,板橋區
