the_geom,cartodb_id,ratio,field_6,people_total_f,people_total_m,people_total,village,site_id
,918,0.6375,400.00,201,255,456.00,石碇里,石碇區
,343,2,714.00,1731,1428,"3,159.00",光明里,永和區
,2,1.71334792122538,457.00,879,783,"1,662.00",留侯里,板橋區
,3,2.89019607843137,255.00,840,737,"1,577.00",流芳里,板橋區
,4,1.58823529411765,255.00,428,405,833.00,赤松里,板橋區
,5,3.66037735849057,159.00,607,582,"1,189.00",黃石里,板橋區
,6,5.25149700598802,167.00,919,877,"1,796.00",挹秀里,板橋區
,7,7.54545454545455,363.00,2951,2739,"5,690.00",湳興里,板橋區
,8,1.94175960346964,807.00,1709,1567,"3,276.00",新興里,板橋區
,9,11.1586956521739,460.00,4091,5133,"9,224.00",社後里,板橋區
,10,2.05957836846929,"1,091.00",2270,2247,"4,517.00",香社里,板橋區
,11,3.68885191347754,601.00,2314,2217,"4,531.00",中正里,板橋區
,12,4.40969899665552,598.00,2762,2637,"5,399.00",自強里,板橋區
,13,1.20033812341505,"1,183.00",1510,1420,"2,930.00",自立里,板橋區
,14,3.38916256157635,406.00,1418,1376,"2,794.00",光華里,板橋區
,15,3.63706563706564,518.00,1975,1884,"3,859.00",國光里,板橋區
,16,1.62429696287964,889.00,1615,1444,"3,059.00",港尾里,板橋區
,17,3.966796875,512.00,2120,2031,"4,151.00",金華里,板橋區
,18,4.99803149606299,508.00,2586,2539,"5,125.00",港德里,板橋區
,19,2.00587371512482,681.00,1402,1366,"2,768.00",民權里,板橋區
,977,9.2,25.00,160,230,390.00,南山里,平溪區
,20,3.84322033898305,472.00,1899,1814,"3,713.00",建國里,板橋區
,21,4.21832358674464,513.00,2299,2164,"4,463.00",漢生里,板橋區
,22,2.48084054388134,809.00,2100,2007,"4,107.00",公舘里,板橋區
,23,4.05892857142857,560.00,2406,2273,"4,679.00",新民里,板橋區
,24,2.72536136662286,761.00,2083,2074,"4,157.00",幸福里,板橋區
,25,3.85074626865672,536.00,2188,2064,"4,252.00",忠誠里,板橋區
,26,1.39256678281069,861.00,1294,1199,"2,493.00",百壽里,板橋區
,27,4.81761006289308,318.00,1668,1532,"3,200.00",介壽里,板橋區
,28,2.58937198067633,414.00,1130,1072,"2,202.00",新埔里,板橋區
,29,9.95,360.00,4159,3582,"7,741.00",華江里,板橋區
,30,1.70671378091873,"1,415.00",2497,2415,"4,912.00",江翠里,板橋區
,31,4.10666666666667,675.00,2875,2772,"5,647.00",純翠里,板橋區
,32,3.78850855745721,818.00,3209,3099,"6,308.00",溪頭里,板橋區
,33,1.90588235294118,935.00,2012,1782,"3,794.00",聯翠里,板橋區
,34,3.42672413793103,696.00,2605,2385,"4,990.00",宏翠里,板橋區
,35,2.00271002710027,738.00,1557,1478,"3,035.00",仁翠里,板橋區
,36,11.7313432835821,335.00,4243,3930,"8,173.00",新翠里,板橋區
